_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
1328,A1347142,JULIO,CAT,WHITE,TABBY-GRAY,DOMESTIC SH,NEUTERED,2024-03-18T00:00:00,1 YEAR 2 MONTHS,2024-07-02T00:00:00,MED R,STRAY,MEDVET,,2024-07-09T00:00:00,ADOPTION,,HEALTHY,CLAYTON AND STORY RD,SAN JOSE,2024-07-09T00:00:00
1329,A1347143,,CAT,WHITE,,DOMESTIC SH,MALE,,NO AGE,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-02T00:00:00,EUTH,,MED SEV,VILLA MONTEREY X LEWIS RD,SAN JOSE,2025-03-12T00:00:00
1330,A1347144,,CAT,WHITE,,DOMESTIC SH,FEMALE,,NO AGE,2024-07-02T00:00:00,NURSING,STRAY,OTC,,2024-07-08T00:00:00,EUTH,,MED SEV,VILLA MONTEREY X LEWIS RD,SAN JOSE,2024-07-08T00:00:00
1331,A1347152,TNR,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-02T00:00:00,PREGNANT,STRAY,OTC,,2024-07-14T00:00:00,RTF,,FERAL,CUPERTINO RD X N FOOTHILL BLVD,CUPERTINO,2024-07-14T00:00:00
1332,A1347155,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,,NO AGE,2024-07-02T00:00:00,MED SEV,STRAY,OTC,,2024-07-02T00:00:00,EUTH,,MED SEV,,,2024-07-02T00:00:00
1333,A1347159,,CAT,BLACK,,DOMESTIC LH,MALE,,NO AGE,2024-07-02T00:00:00,MED SEV,STRAY,MEDVET,,2024-07-02T00:00:00,EUTH,,MED SEV,,SAN JOSE,2025-02-25T00:00:00
1334,A1347164,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-02T00:00:00,MED SEV,STRAY,MEDVET,,2024-07-02T00:00:00,EUTH,,MED SEV,500 BLOCK MADERA AVE,SAN JOSE,2024-07-02T00:00:00
1335,A1347166,WOOLF,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-05-02T00:00:00,1 YEAR,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-08-13T00:00:00,ADOPTION,,HEALTHY,CHAPARRAL AVE/BUCKNALL RD,SAN JOSE,2024-08-13T00:00:00
1336,A1347168,ELIOT,CAT,WHITE,BLACK,DOMESTIC SH,NEUTERED,2024-05-02T00:00:00,1 YEAR,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-08-04T00:00:00,ADOPTION,,HEALTHY,CHAPARRAL AVE/BUCKNALL RD,SAN JOSE,2024-08-04T00:00:00
1337,A1347171,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,DEAD,DISPO REQ,FIELD,,2024-07-02T00:00:00,TRANSFER,,DEAD,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1338,A1347173,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1339,A1347174,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1340,A1347175,,OTHER,GRAY,,SQUIRREL,UNKNOWN,,NO AGE,2024-07-02T00:00:00,MED SEV,WILDLIFE,MEDVET,,2024-07-02T00:00:00,EUTH,,MED SEV,3000 BLOCK SHADOW PARK PL,SAN JOSE,2024-07-02T00:00:00
1341,A1347176,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1342,A1347177,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1343,A1347178,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1344,A1347179,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1345,A1347180,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,NURSING,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,NURSING,NEAL AVE / S WINCHESTER BLVD,SAN JOSE,2024-07-02T00:00:00
1346,A1347181,CHLOE,DOG,BLACK,WHITE,ALASKAN HUSKY,SPAYED,2023-01-02T00:00:00,2 YEARS,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-08-06T00:00:00,ADOPTION,,HEALTHY,MCLAUGHLIN/TULLY,SAN JOSE,2024-08-06T00:00:00
1347,A1347182,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,,NO AGE,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-08T00:00:00,EUTH,,MED SEV,ZAMORA CT X EL CAMINO HIGUERA,MILPITAS,2024-07-09T00:00:00
1348,A1347189,DOT,CAT,TABBY-BRN,WHITE,DOMESTIC MH,SPAYED,2017-07-02T00:00:00,7 YEARS,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-10-12T00:00:00,ADOPTION,,HEALTHY,,LOS GATOS,2024-10-12T00:00:00
1349,A1347192,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,,NO AGE,2024-07-02T00:00:00,MED SEV,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,MED SEV,CHERRY TREE LN / APPLE TREE LN,CUPERTINO,2024-07-02T00:00:00
1350,A1347193,,DOG,BROWN,,FRENCH BULLDOG,NEUTERED,2019-07-02T00:00:00,5 YEARS,2024-07-02T00:00:00,MED SEV,STRAY,OTC,,2024-07-05T00:00:00,DIED,,MED SEV,VINE ST/WILLOW,SAN JOSE,2024-07-05T00:00:00
1351,A1347195,,OTHER,GRAY,,RABBIT SH,UNKNOWN,,NO AGE,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-07-02T00:00:00,RESCUE,,,COTTON TAIL AVE/BAMBI LN,SAN JOSE,2024-07-02T00:00:00
1352,A1347196,BEANS,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-28T00:00:00,1 YEAR 1 MONTH,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-08-17T00:00:00,ADOPTION,,,BAL HARBOR WAY / NAPLES DR,SAN JOSE,2024-08-17T00:00:00
1353,A1347206,COOPER,DOG,BROWN,TAN,BORDER COLLIE,NEUTERED,2023-07-08T00:00:00,1 YEAR 10 MONTHS,2024-07-02T00:00:00,HEALTHY,TRANSFER,COUNTY,,2024-07-19T00:00:00,FOSTER,,HEALTHY,MONTEREY RD X BAILEY AVE,SAN JOSE,2024-07-19T00:00:00
1354,A1347206,COOPER,DOG,BROWN,TAN,BORDER COLLIE,NEUTERED,2023-07-08T00:00:00,1 YEAR 10 MONTHS,2024-08-08T00:00:00,HEALTHY,FOSTER,,,2024-08-08T00:00:00,FOSTER,,,,SAN JOSE,2024-08-08T00:00:00
1355,A1347206,COOPER,DOG,BROWN,TAN,BORDER COLLIE,NEUTERED,2023-07-08T00:00:00,1 YEAR 10 MONTHS,2024-08-15T00:00:00,HEALTHY,FOSTER,,,2024-08-15T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-15T00:00:00
1356,A1347207,MAPLE,DOG,TAN,BLACK,BORDER COLLIE,SPAYED,2023-02-14T00:00:00,2 YEARS,2024-09-03T00:00:00,HEALTHY,FOSTER,,,2024-09-03T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-03T00:00:00
1357,A1347207,MAPLE,DOG,TAN,BLACK,BORDER COLLIE,SPAYED,2023-02-14T00:00:00,2 YEARS,2024-07-02T00:00:00,HEALTHY,TRANSFER,COUNTY,,2024-08-02T00:00:00,FOSTER,,,MONTEREY RD X BAILEY AVE,SAN JOSE,2024-08-02T00:00:00
1358,A1347208,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-23T00:00:00,1 YEAR 1 MONTH,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-07-10T00:00:00,ADOPTION,,HEALTHY,LAURELWOOD DR / GUNDERSON DR,SAN JOSE,2024-07-10T00:00:00
1359,A1347209,ROY ROGERS,DOG,BLACK,TAN,AUST CATTLE DOG,NEUTERED,2022-12-07T00:00:00,2 YEARS,2024-07-02T00:00:00,HEALTHY,TRANSFER,COUNTY,,2024-08-03T00:00:00,ADOPTION,,HEALTHY,100 BLOCK X TULLY,SAN JOSE,2024-08-03T00:00:00
1360,A1347210,MERIDA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-04-23T00:00:00,1 YEAR 1 MONTH,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-07-13T00:00:00,ADOPTION,,,LAURELWOOD DR / GUNDERSON DR,SAN JOSE,2024-07-13T00:00:00
1361,A1347212,OREO,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-06-28T00:00:00,11 MONTHS,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-07-05T00:00:00,FOSTER,,MED R,LE COMPTE PL,SAN JOSE,2024-07-05T00:00:00
1362,A1347212,OREO,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-06-28T00:00:00,11 MONTHS,2024-07-06T00:00:00,HEALTHY,FOSTER,,,2024-07-10T00:00:00,FOSTER,,HEALTHY,,SAN JOSE,2024-07-10T00:00:00
1363,A1347212,OREO,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-06-28T00:00:00,11 MONTHS,2024-07-25T00:00:00,HEALTHY,FOSTER,,,2024-07-28T00:00:00,FOSTER,,NURSING,,SAN JOSE,2024-07-28T00:00:00
1364,A1347212,OREO,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-06-28T00:00:00,11 MONTHS,2024-07-30T00:00:00,HEALTHY,FOSTER,,,2024-07-31T00:00:00,FOSTER,,HEALTHY,,SAN JOSE,2024-08-17T00:00:00
1365,A1347212,OREO,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-06-28T00:00:00,11 MONTHS,2024-10-18T00:00:00,HEALTHY,FOSTER,,,2024-12-14T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-12-14T00:00:00
1366,A1347213,JAY,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-10-18T00:00:00,HEALTHY,FOSTER,,,2024-11-24T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-11-24T00:00:00
1367,A1347213,JAY,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-30T00:00:00,HEALTHY,FOSTER,,,2024-07-31T00:00:00,FOSTER,,HEALTHY,,SAN JOSE,2024-08-17T00:00:00
1368,A1347213,JAY,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-25T00:00:00,HEALTHY,FOSTER,,,2024-07-28T00:00:00,FOSTER,,NURSING,,SAN JOSE,2024-07-28T00:00:00
1369,A1347213,JAY,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-06T00:00:00,HEALTHY,FOSTER,,,2024-07-10T00:00:00,FOSTER,,HEALTHY,,SAN JOSE,2024-07-10T00:00:00
1370,A1347213,JAY,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-05T00:00:00,FOSTER,,MED R,LE COMPTE PL,SAN JOSE,2024-07-05T00:00:00
1371,A1347214,SMOKY,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-05T00:00:00,FOSTER,,MED R,LE COMPTE PL,SAN JOSE,2024-07-05T00:00:00
1372,A1347214,SMOKY,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-06T00:00:00,HEALTHY,FOSTER,,,2024-07-10T00:00:00,FOSTER,,HEALTHY,,SAN JOSE,2024-07-10T00:00:00
1373,A1347214,SMOKY,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-25T00:00:00,HEALTHY,FOSTER,,,2024-07-28T00:00:00,FOSTER,,NURSING,,SAN JOSE,2024-07-28T00:00:00
1374,A1347214,SMOKY,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-07-30T00:00:00,HEALTHY,FOSTER,,,2024-07-31T00:00:00,FOSTER,,HEALTHY,,SAN JOSE,2024-08-17T00:00:00
1375,A1347214,SMOKY,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-06-30T00:00:00,11 MONTHS,2024-10-18T00:00:00,HEALTHY,FOSTER,,,2024-11-02T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-11-02T00:00:00
1376,A1347215,MADAME FROMAGE,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,2024-05-27T00:00:00,1 YEAR,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-11T00:00:00,TRANSFER,,HEALTHY,LITTLE ORCHARD ST,SAN JOSE,2024-07-11T00:00:00
1377,A1347217,BROOKLYN,DOG,BLACK,BROWN,GERM SHEPHERD,SPAYED,2022-01-09T00:00:00,3 YEARS,2024-07-09T00:00:00,MED R,STRAY,OTC,,2024-08-20T00:00:00,FOSTER,,HEALTHY,OCALA AVE X S KING RD,SAN JOSE,2024-08-20T00:00:00
1378,A1347217,BROOKLYN,DOG,BLACK,BROWN,GERM SHEPHERD,SPAYED,2022-01-09T00:00:00,3 YEARS,2024-08-20T00:00:00,HEALTHY,FOSTER,,,2024-10-02T00:00:00,ADOPTION,,HEALTHY,,SAN JOSE,2024-10-02T00:00:00
1379,A1347221,,CAT,ORANGE,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-02T00:00:00,MED SEV,STRAY,OTC,,2024-07-02T00:00:00,EUTH,,MED SEV,THREE SPRINGS RD,COUNTY,2024-07-02T00:00:00
1380,A1347222,SATINE,CAT,BLACK,,DOMESTIC SH,FEMALE,2024-05-27T00:00:00,1 YEAR,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-11T00:00:00,TRANSFER,,HEALTHY,LITTLE ORCHARD ST,SAN JOSE,2024-07-11T00:00:00
1381,A1347224,ZIDLER,CAT,BLACK,BLACK,DOMESTIC SH,MALE,2024-05-27T00:00:00,1 YEAR,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-07-11T00:00:00,TRANSFER,,HEALTHY,LITTLE ORCHARD ST,SAN JOSE,2024-07-11T00:00:00
1382,A1347226,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2021-07-03T00:00:00,3 YEARS,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-07-13T00:00:00,ADOPTION,,HEALTHY,N 8TH X E JULIAN ST,SAN JOSE,2024-07-13T00:00:00
1383,A1347226,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2021-07-03T00:00:00,3 YEARS,2024-07-22T00:00:00,HEALTHY,RETURN,OTC,,2024-08-06T00:00:00,RTF,,HEALTHY,,SAN JOSE,2024-08-06T00:00:00
1384,A1347227,,CAT,CALICO-TRI,,DOMESTIC SH,FEMALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,STRAY,OTC,,2024-07-03T00:00:00,RESCUE,,NURSING,S 10TH ST,SAN JOSE,2024-07-03T00:00:00
1385,A1347229,DIESEL,DOG,BLACK,WHITE,STAFFORDSHIRE,MALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1386,A1347231,,CAT,BLACK,,DOMESTIC SH,FEMALE,,NO AGE,2024-07-02T00:00:00,MED R,STRAY,MEDVET,,2024-07-05T00:00:00,EUTH,,MED SEV,KEYS / 6TH,SAN JOSE,2024-07-05T00:00:00
1387,A1347232,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-07-02T00:00:00,MED SEV,STRAY,OTC,,2024-07-10T00:00:00,EUTH,,MED SEV,MABURY RD,SAN JOSE,2024-07-10T00:00:00
1388,A1347233,HAZE,DOG,BROWN,WHITE,AMER BULLDOG,NEUTERED,2021-07-02T00:00:00,3 YEARS,2024-07-02T00:00:00,MED R,STRAY,OTC,,2024-09-01T00:00:00,FOSTER,,HEALTHY,JUDITH ST X TRADEWINDS DR,SAN JOSE,2024-09-01T00:00:00
1389,A1347234,,OTHER,BLACK,WHITE,SKUNK,UNKNOWN,,NO AGE,2024-07-02T00:00:00,DEAD,DISPO REQ,FIELD,,2024-07-02T00:00:00,DISPOSAL,,DEAD,GINGERWOOD DR / PACIFICA WAY,MILPITAS,2024-07-02T00:00:00
1390,A1347236,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-02T00:00:00,DEAD,DISPO REQ,OTC,,2024-07-02T00:00:00,DISPOSAL,,DEAD,VERMONT ST X MYRTLE ST,SAN JOSE,2024-07-02T00:00:00
1391,A1347238,,CAT,WHITE,BLACK,DOMESTIC SH,MALE,,NO AGE,2024-07-02T00:00:00,MED SEV,STRAY,OTC,,2024-07-02T00:00:00,EUTH,,MED SEV,FONTANELLE DR,SAN JOSE,2024-07-02T00:00:00
1392,A1347241,BOWSER,OTHER,BROWN,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-10-03T00:00:00,RESCUE,,MED M,,,2024-10-03T00:00:00
1393,A1347242,HASHBROWNS,OTHER,TAN,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1394,A1347243,MCMUFFIN,OTHER,BROWN,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1395,A1347244,CHURRO,OTHER,WHITE,BROWN,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1396,A1347245,MCFLURRY,OTHER,WHITE,TAN,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1397,A1347246,NUGGET,OTHER,WHITE,TRICOLOR,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1398,A1347247,CHOMPS,OTHER,BROWN,,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-10-03T00:00:00,RESCUE,,MED M,,,2024-10-03T00:00:00
1399,A1347248,ROCKY,OTHER,TAN,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-10-03T00:00:00,RESCUE,,MED M,,,2024-10-03T00:00:00
1400,A1347254,DAPHNE,OTHER,BROWN,WHITE,GUINEA PIG,FEMALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1401,A1347255,NACHOS,OTHER,RED,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1402,A1347256,MOE,OTHER,BROWN,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1403,A1347257,PATCH,OTHER,TAN,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1404,A1347258,FRENCH FRY,OTHER,RED,WHITE,GUINEA PIG,MALE,,NO AGE,2024-07-02T00:00:00,MED M,OWNER SUR,FIELD,,2024-07-05T00:00:00,RESCUE,,MED M,,,2024-07-05T00:00:00
1405,A1347261,,OTHER,BROWN,WHITE,SQUIRREL,UNKNOWN,,NO AGE,2024-07-02T00:00:00,MED SEV,WILDLIFE,FIELD,,2024-07-02T00:00:00,TRANSFER,,MED SEV,CRESCENT VILLAGE CIRCLE,SAN JOSE,2024-07-02T00:00:00
1406,A1347276,CHAVELA,DOG,TAN,,CHIHUAHUA SH,SPAYED,2020-12-05T00:00:00,4 YEARS,2024-07-02T00:00:00,HEALTHY,STRAY,FIELD,,2024-07-08T00:00:00,FOSTER,,HEALTHY,BERRYESSA STATION WAY X MABURY RD,SAN JOSE,2024-07-08T00:00:00
1407,A1347276,CHAVELA,DOG,TAN,,CHIHUAHUA SH,SPAYED,2020-12-05T00:00:00,4 YEARS,2024-07-08T00:00:00,HEALTHY,FOSTER,,,2024-07-08T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-08T00:00:00
1408,A1347277,,OTHER,BLACK,WHITE,SKUNK,UNKNOWN,,NO AGE,2024-07-02T00:00:00,MED M,WILDLIFE,FIELD,,2024-07-03T00:00:00,DIED,,DEAD,SUMMERVIEW X PENETENCIA CREEK,SAN JOSE,2024-07-03T00:00:00
1409,A1347279,,DOG,TAN,,NORFOLK TERRIER,MALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1410,A1347280,,DOG,BLACK,,PUG,MALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1411,A1347281,,DOG,BLACK,,PUG,MALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1412,A1347282,,DOG,BLACK,,PUG,FEMALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1413,A1347283,,DOG,BLACK,,PUG,FEMALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1414,A1347284,,DOG,BLACK,,PUG,MALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1415,A1347285,,DOG,FAWN,,PUG,FEMALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1416,A1347286,,DOG,FAWN,,PUG,FEMALE,,NO AGE,2024-07-02T00:00:00,HEALTHY,CONFISCATE,POLICE,,2024-07-03T00:00:00,RTO,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1417,A1347289,TRAP 1,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,FERAL,,SAN JOSE,2024-07-03T00:00:00
1418,A1347290,TRAP 2,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,FERAL,,SAN JOSE,2024-07-03T00:00:00
1419,A1347291,TRAP 3,CAT,BLACK,,DOMESTIC SH,NEUTERED,2022-07-03T00:00:00,2 YEARS,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,FERAL,,SAN JOSE,2024-07-03T00:00:00
1420,A1347292,TRAP 4,CAT,GRAY,,DOMESTIC SH,NEUTERED,2023-09-03T00:00:00,1 YEAR 8 MONTHS,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,FERAL,,SAN JOSE,2024-07-03T00:00:00
1421,A1347294,TRAP 6,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1422,A1347295,TRAP 7,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,HEALTHY,,SAN JOSE,2024-07-03T00:00:00
1423,A1347296,TRAP 8,CAT,GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,FERAL,,SAN JOSE,2024-07-03T00:00:00
1424,A1347297,TRAP 9,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-03T00:00:00,FERAL,S/N CLINIC,,,2024-07-03T00:00:00,RTF,,FERAL,,SAN JOSE,2024-07-03T00:00:00
1425,A1347299,SUNDAY,DOG,BROWN,WHITE,PIT BULL,FEMALE,2015-07-03T00:00:00,9 YEARS,2024-08-04T00:00:00,MED R,FOSTER,,,2024-08-04T00:00:00,RESCUE,,MED R,NORWALK DR X AUBURN WAY,SAN JOSE,2024-08-04T00:00:00
1426,A1347300,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2024-07-03T00:00:00,DEAD,DISPO REQ,FIELD,,2024-07-03T00:00:00,DISPOSAL,,DEAD,2700 BLOCK SIERRA RD,SAN JOSE,2024-07-03T00:00:00
